user_id,user_name,user_age,user_gender,user_wage,product_id,product_type,user_type,action,action_score,action_time,action_range
1,郭小丽,29,女,6319,100045607730,时尚服装,时尚达人,购买,5,2022-09-18 12:55,08~13时
1,郭小丽,29,女,6319,10069056195322,时尚服装,时尚达人,推荐,4,2022-09-16 13:37,08~13时
1,郭小丽,29,女,6319,10068418936308,时尚服装,时尚达人,购买,5,2022-12-21 16:57,13-20时
1,郭小丽,29,女,6319,100042838858,时尚服装,时尚达人,分享,3,2022-12-30 08:28,00~08时
1,郭小丽,29,女,6319,10068652394288,时尚服装,时尚达人,购买,5,2023-02-12 20:15,13-20时
1,郭小丽,29,女,6319,100044110042,时尚服装,时尚达人,分享,3,2022-11-10 15:23,13-20时
1,郭小丽,29,女,6319,100053002183,时尚服装,时尚达人,收藏,2,2022-12-07 07:56,00~08时
1,郭小丽,29,女,6319,100024614728,时尚服装,时尚达人,收藏,2,2023-01-06 19:56,13-20时
1,郭小丽,29,女,6319,10069555226566,时尚服装,时尚达人,收藏,2,2023-01-30 06:29,00~08时
1,郭小丽,29,女,6319,10068861921880,时尚服装,时尚达人,收藏,2,2023-01-05 15:47,13-20时
1,郭小丽,29,女,6319,10037325445964,时尚服装,时尚达人,购买,5,2022-11-18 20:54,13-20时
1,郭小丽,29,女,6319,100045165378,时尚服装,时尚达人,分享,3,2023-03-12 22:32,20-23时
1,郭小丽,29,女,6319,10070091067689,时尚服装,时尚达人,收藏,2,2023-01-02 19:17,13-20时
1,郭小丽,29,女,6319,10067991759554,时尚服装,时尚达人,收藏,2,2022-11-16 06:58,00~08时
1,郭小丽,29,女,6319,10070008784675,时尚服装,时尚达人,分享,3,2022-11-28 19:45,13-20时
1,郭小丽,29,女,6319,10047518198140,时尚服装,时尚达人,收藏,2,2022-12-12 19:34,13-20时
1,郭小丽,29,女,6319,100053145939,时尚服装,时尚达人,推荐,4,2022-10-29 18:14,13-20时
1,郭小丽,29,女,6319,10060657334550,时尚服装,时尚达人,分享,3,2023-02-22 11:28,08~13时
1,郭小丽,29,女,6319,10069908389703,时尚服装,时尚达人,收藏,2,2023-02-03 15:20,13-20时
1,郭小丽,29,女,6319,10043278167894,时尚服装,时尚达人,购买,5,2022-12-29 17:45,13-20时
1,郭小丽,29,女,6319,71287846694,时尚服装,时尚达人,分享,3,2022-12-24 07:17,00~08时
1,郭小丽,29,女,6319,10070176681512,时尚服装,时尚达人,收藏,2,2023-02-09 21:51,20-23时
1,郭小丽,29,女,6319,100010436869,时尚服装,时尚达人,分享,3,2022-11-02 16:30,13-20时
1,郭小丽,29,女,6319,10069541280881,时尚服装,时尚达人,收藏,2,2023-01-16 09:44,08~13时
1,郭小丽,29,女,6319,100040566902,时尚服装,时尚达人,分享,3,2022-09-18 14:11,13-20时
1,郭小丽,29,女,6319,10068613043702,时尚服装,时尚达人,收藏,2,2022-11-17 18:52,13-20时
1,郭小丽,29,女,6319,10070237931519,时尚服装,时尚达人,收藏,2,2022-11-16 14:51,13-20时
1,郭小丽,29,女,6319,10068074320269,时尚服装,时尚达人,购买,5,2023-03-03 05:26,00~08时
1,郭小丽,29,女,6319,10070026977541,时尚服装,时尚达人,浏览,1,2023-01-29 16:45,13-20时
1,郭小丽,29,女,6319,10069543580220,时尚服装,时尚达人,推荐,4,2023-03-01 11:31,08~13时
1,郭小丽,29,女,6319,65933182056,时尚服装,时尚达人,收藏,2,2023-01-22 09:42,08~13时
1,郭小丽,29,女,6319,10069822904107,时尚服装,时尚达人,购买,5,2022-12-20 08:19,00~08时
1,郭小丽,29,女,6319,10034547484108,时尚服装,时尚达人,购买,5,2022-11-28 06:32,00~08时
1,郭小丽,29,女,6319,10069319619073,时尚服装,时尚达人,浏览,1,2023-02-03 05:58,00~08时
1,郭小丽,29,女,6319,10041413104776,时尚服装,时尚达人,分享,3,2023-02-19 21:11,20-23时
1,郭小丽,29,女,6319,10043081781630,时尚服装,时尚达人,购买,5,2022-11-16 10:27,08~13时
1,郭小丽,29,女,6319,10068716737409,时尚服装,时尚达人,分享,3,2023-01-05 13:20,08~13时
1,郭小丽,29,女,6319,100042785208,时尚服装,时尚达人,分享,3,2022-11-10 07:24,00~08时
1,郭小丽,29,女,6319,10038738382881,时尚服装,时尚达人,浏览,1,2023-02-08 13:31,08~13时
1,郭小丽,29,女,6319,10069566627573,时尚服装,时尚达人,分享,3,2022-10-12 13:30,08~13时
1,郭小丽,29,女,6319,67711719961,时尚服装,时尚达人,推荐,4,2022-10-21 07:53,00~08时
1,郭小丽,29,女,6319,100034249799,时尚服装,时尚达人,分享,3,2022-11-04 05:27,00~08时
1,郭小丽,29,女,6319,10069555130918,时尚服装,时尚达人,分享,3,2023-02-07 09:48,08~13时
1,郭小丽,29,女,6319,10068500786821,时尚服装,时尚达人,购买,5,2022-10-16 17:52,13-20时
1,郭小丽,29,女,6319,10070438999284,时尚服装,时尚达人,购买,5,2022-10-19 21:11,20-23时
1,郭小丽,29,女,6319,100004296495,时尚服装,时尚达人,浏览,1,2023-01-13 05:24,00~08时
1,郭小丽,29,女,6319,10068477825682,时尚服装,时尚达人,收藏,2,2022-11-24 10:52,08~13时
1,郭小丽,29,女,6319,10068832845996,时尚服装,时尚达人,推荐,4,2023-02-20 11:17,08~13时
1,郭小丽,29,女,6319,27657186013,时尚服装,时尚达人,浏览,1,2022-12-10 20:57,13-20时
1,郭小丽,29,女,6319,10069328331714,时尚服装,时尚达人,推荐,4,2022-10-11 16:34,13-20时
1,郭小丽,29,女,6319,10069555199476,时尚服装,时尚达人,推荐,4,2023-01-30 22:13,20-23时
1,郭小丽,29,女,6319,100044176744,时尚服装,时尚达人,浏览,1,2022-12-16 22:29,20-23时
1,郭小丽,29,女,6319,10069199928307,时尚服装,时尚达人,推荐,4,2022-12-10 15:14,13-20时
1,郭小丽,29,女,6319,10068951854312,时尚服装,时尚达人,分享,3,2022-12-20 15:23,13-20时
4,郭思帆,43,男,6791,10069555226566,时尚服装,时尚达人,推荐,4,2023-01-02 09:44,08~13时
4,郭思帆,43,男,6791,10069956127190,时尚服装,时尚达人,推荐,4,2023-03-01 07:34,00~08时
4,郭思帆,43,男,6791,100044286118,时尚服装,时尚达人,分享,3,2023-02-09 17:39,13-20时
4,郭思帆,43,男,6791,10058547932048,时尚服装,时尚达人,推荐,4,2023-01-19 04:14,00~08时
4,郭思帆,43,男,6791,10069962984132,时尚服装,时尚达人,收藏,2,2023-03-16 11:10,08~13时
